"","X1","line","section_name","section_artist","song_name","artist_name","song_id"
"1",1,"I'm sayin' all the things that I know you'll like","Verse 1","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"2",2,"Makin' good conversation","Verse 1","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"3",3,"I gotta handle you just right","Verse 1","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"4",4,"You know what I mean","Verse 1","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"5",5,"I took you to an intimate restaurant","Verse 1","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"6",6,"Then to a suggestive movie","Verse 1","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"7",7,"There's nothin' left to talk about","Verse 1","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"8",8,"Unless it's horizontally","Verse 1","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"9",9,"Let's get physical, physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"10",10,"I wanna get physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"11",11,"Let's get into physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"12",12,"Let me hear your body talk, your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"13",13,"Let me hear your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"14",14,"Let's get physical, physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"15",15,"I wanna get physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"16",16,"Let's get into physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"17",17,"Let me hear your body talk, your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"18",18,"Let me hear your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"19",19,"I've been patient, I've been good","Verse 2","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"20",20,"Tried to keep my hands on the table","Verse 2","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"21",21,"It's gettin' hard, this holdin' back","Verse 2","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"22",22,"You know what I mean","Verse 2","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"23",23,"I'm sure you'll understand my point of view","Verse 2","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"24",24,"We know each other mentally","Verse 2","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"25",25,"You gotta know that you're bringin' out","Verse 2","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"26",26,"The animal in me","Verse 2","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"27",27,"Let's get physical, physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"28",28,"I wanna get physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"29",29,"Let's get into physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"30",30,"Let me hear your body talk, your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"31",31,"Let me hear your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"32",32,"Let's get physical, physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"33",33,"I wanna get physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"34",34,"Let's get into physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"35",35,"Let me hear your body talk, your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"36",36,"Let me hear your body talk, ah","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"37",37,"Oh, let's get physical, physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"38",38,"I wanna get physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"39",39,"Let's get into physical","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"40",40,"Let me hear your body talk, your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"41",41,"Let me hear your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"42",42,"Let's get animal, animal","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"43",43,"I wanna get animal","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"44",44,"Let's get into animal","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"45",45,"Let me hear your body talk, your body talk","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"46",46,"Let me hear your body talk, ah-ah","Chorus","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"47",47,"Let me hear your body talk (Your body talk)","Outro","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"48",48,"Let me hear your body talk","Outro","Olivia Newton-John","Physical","Olivia Newton-John","607314"
"49",49,"So long","Verse 1","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"50",50,"I've been lookin' too hard, I've been waiting too long","Verse 1","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"51",51,"Sometimes I don't know what I will find","Verse 1","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"52",52,"I only know it's a matter of time","Verse 1","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"53",53,"When you love someone","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"54",54,"When you love someone","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"55",55,"It feels so right, so warm and true","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"56",56,"I need to know if you feel it too","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"57",57,"Maybe I'm wrong","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"58",58,"Won't you tell me if I'm comin' on too strong?","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"59",59,"This heart of mine has been hurt before","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"60",60,"This time I want to be sure","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"61",61,"I've been waiting for a girl like you","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"62",62,"To come into my life","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"63",63,"I've been waiting for a girl like you","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"64",64,"A love that will survive","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"65",65,"I've been waiting for someone new","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"66",66,"To make me feel alive","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"67",67,"Yeah, waiting for a girl like you","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"68",68,"To come into my life","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"69",69,"You're so good","Verse 2","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"70",70,"When we make love it's understood","Verse 2","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"71",71,"It's more than a touch or a word we say","Verse 2","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"72",72,"Only in dreams could it be this way","Verse 2","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"73",73,"When you love someone","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"74",74,"Yeah, really love someone","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"75",75,"Now, I know it's right","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"76",76,"From the moment I wake up 'til deep in the night","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"77",77,"There's no where on earth that I'd rather be","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"78",78,"Than holding you tenderly","Pre-Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"79",79,"I've been waiting for a girl like you","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"80",80,"To come into my life","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"81",81,"I've been waiting for a girl like you","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"82",82,"A love that will survive","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"83",83,"I've been waiting for someone new","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"84",84,"To make me feel alive","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"85",85,"Yeah, waiting for a girl like you","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"86",86,"To come into my life","Chorus","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"87",87,"I've been waiting","Outro","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"88",88,"Waiting for you","Outro","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"89",89,"Ooh-ooh","Outro","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"90",90,"I've been waiting","Outro","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"91",91,"I've been waiting, yeah","Outro","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"92",92,"Won't you come into my life?","Outro","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"93",93,"My life?","Outro","Foreigner","Waiting for a Girl Like You","Foreigner","85733"
"94",94,"Heard about the party now","Verse 1","Prince","Musicology","Prince","436316"
"95",95,"Just east of Harlem","Verse 1","Prince","Musicology","Prince","436316"
"96",96,"Doug E's going to be there","Verse 1","Prince","Musicology","Prince","436316"
"97",97,"But you got to call him","Verse 1","Prince","Musicology","Prince","436316"
"98",98,"Even the soldiers","Verse 1","Prince","Musicology","Prince","436316"
"99",99,"Need a break sometimes","Verse 1","Prince","Musicology","Prince","436316"
"100",100,"Listen to the groove, y'all","Verse 1","Prince","Musicology","Prince","436316"
"101",101,"Let it unwind your mind","Verse 1","Prince","Musicology","Prince","436316"
"102",102,"No intoxication","Verse 1","Prince","Musicology","Prince","436316"
"103",103,"Unless you see what I see","Verse 1","Prince","Musicology","Prince","436316"
"104",104,"Dancing hot and sweaty","Verse 1","Prince","Musicology","Prince","436316"
"105",105,"Right in front of me","Verse 1","Prince","Musicology","Prince","436316"
"106",106,"Oh, call it what you like","Verse 1","Prince","Musicology","Prince","436316"
"107",107,"I'm going to call it how it be","Verse 1","Prince","Musicology","Prince","436316"
"108",108,"This is just another one of God's gifts","Verse 1","Prince","Musicology","Prince","436316"
